,file_ids,start_times,stop_times,texts,labels
2908,Ses02M_impro05_F016,125.5900,127.1500,there are- I have important things in that bag. I've got,neu
2909,Ses02M_impro05_F017,133.4189,141.7900,Okay,neu
2910,Ses02M_impro05_F018,141.8000,145.1500,"I mean -- I've been away for a while and- and now I've- I've gifts for- for you know friends and family I mean, I got stuff in the there",neu
2911,Ses02M_impro05_F019,152.8519,154.4152,Right.,neu
2912,Ses02M_impro05_F020,159.9100,162.6900,It's worth a lot.,neu
2913,Ses02M_impro05_F021,162.7000,165.6400,"I understand that. Um- So I'm going to put down here that you looking for your baggage, but we actually can't, uh this bag is likely not going to show up so what we're going to do-",neu
2914,Ses02M_impro05_F022,167.5717,176.8958,"Not going to show - well isn't like - wouldn't it just be at the airport, that, like, if it didn't get on the other plane",fru
2915,Ses02M_impro05_F023,180.8041,187.9777,can they check there?,neu
2916,Ses02M_impro05_F024,203.0600,209.3303,"Sometimes it gets stolen, sometimes it gets misplaced on another plane and",neu
2917,Ses02M_impro05_F025,211.7643,217.8594,on another-,neu
2918,Ses02M_impro05_F026,217.8694,226.3700,"they - they, it gets shipped to somewhere else and then it's stuck somewhere and then we have no way of tracking that.",neu
2919,Ses02M_impro05_F027,230.9033,232.5628,So we'll- what we'll do,xxx
2920,Ses02M_impro05_F028,232.6200,241.2503,"But we have the tags on. I mean like it wouldn't you know, if it got stuck somewhere it's like well this is nobodies bag I mean maybe you know look on the tag and",fru
2921,Ses02M_impro05_F029,242.5959,244.2978,see where it came from originally. I mean it seems like-,fru
2922,Ses02M_impro05_F030,246.1900,247.1636,Right. Like I said sometimes a theft and things happen like that but we are willing to reim-reimburse you.,xxx
2923,Ses02M_impro05_M000,2.6966,3.9776,Theft?,neu
2924,Ses02M_impro05_M001,4.9295,9.4790,"Um, so.",neu
2925,Ses02M_impro05_M002,11.4800,16.5042,"Theft? Don't you know like all these people that are work - you keep like an eye on them, how can they get away with-",neu
2926,Ses02M_impro05_M003,27.2271,31.5242,"We have very tight security but we -uh- there are times when we just can't uh make sure there aren't absolutely no human error, you know",neu
2927,Ses02M_impro05_M004,35.3200,38.1932,I'm sorry there is no guarantee on baggage.,sur
2928,Ses02M_impro05_M005,53.6501,56.5535,This is unbelievable. I've got,xxx
2929,Ses02M_impro05_M006,67.2635,69.8172,you don't realize the stuff that I've got in that - I really need to get the suitcase okay,fru
2930,Ses02M_impro05_M007,71.6500,74.4400,"I understand, so-",xxx
2931,Ses02M_impro05_M008,74.4500,81.9200,"so if it's back there or something, if there is something you can do",fru
2932,Ses02M_impro05_M009,81.9300,83.1741,"I need you to tell me because I really need to get the bag, okay?",xxx
2933,Ses02M_impro05_M010,94.0921,100.4500,"all right, We've already checked back here for your baggage",fru
2934,Ses02M_impro05_M011,100.4500,102.1519,and we will continue to look for it and because your paper-,fru
2935,Ses02M_impro05_M012,104.6651,105.4765,You've already checked? Can you check again? [garbage],xxx
2936,Ses02M_impro05_M013,112.1652,119.1800,"I've already looked, thank you very much and because we've filled out paperwork if it shows up we will send it to you but otherwise what we can do is reimburse you for fifty dollar.",ang
2937,Ses02M_impro05_M014,119.1900,121.8700,Fifty- fifty dollars? Come on you have got to be joking.,fru
2938,Ses02M_impro05_M015,123.6628,124.5533,"Well, it's- it's just sort of help with the fact uh that you lost some of your possessions and we rather do that than-",xxx
2939,Ses02M_impro05_M016,126.7989,133.6168,"Uh huh, yea, lost some of my possessions, yes, so if I lost maybe a shoe that was in the suitcase and like a carry-on",ang
2940,Ses02M_impro05_M017,144.8700,148.0300,"that might be like fifty dollars okay, but this - I- [garbage] I had like thousands of dollars worth of stuff in that suitcase.",fru
2941,Ses02M_impro05_M018,148.0400,153.3268,The airline can't afford to give you everything that is in that suitcase. and so-,ang
2942,Ses02M_impro05_M019,153.3268,157.4725,The a- what? Talking about a core they can't afford it? I mean-,fru
2943,Ses02M_impro05_M020,157.5352,161.3054,Well because lots of people get their baggage lost and we don't want to have false claims or anything like that so we have,fru
2944,Ses02M_impro05_M021,165.1608,167.6344,"we can give you fifty dollar to sort of make up for it, to compensate, and we can definitely let you know if it shows up but likely, more than likely-",fru
2945,Ses02M_impro05_M022,176.6979,180.9525,I mean you're not helping me here. What do I have to do here? Do I need to sue the airline company is that what I should do,xxx
2946,Ses02M_impro05_M023,186.8406,196.4079,because this is ridiculous?,fru
2947,Ses02M_impro05_M024,196.4177,204.0663,I'm sorry. I don't- I-,fru
2948,Ses02M_impro05_M025,207.0300,211.9163,I don't believe you should sue the airline company but we do have a policy uh- in which we can reimburse you and that's all we can do and I'm sorry I've done everything I can-,ang
2949,Ses02M_impro05_M026,225.3600,230.8900,All right. I'm sick- I'm sick of this all right. I'm sick of you and keep your fifty dollar.,ang
2950,Ses02M_impro05_M027,230.9000,233.3100,There's other people waiting-,fru
2951,Ses02M_impro05_M028,241.0860,245.8809,Fine.,fru
2952,Ses02M_impro06_F000,5.1150,8.0522,What's going on?,xxx
2953,Ses02M_impro06_F001,13.4307,18.4542,Kathy died last night.,sur
2954,Ses02M_impro06_F002,36.8400,40.9300,"Oh my God. Oh my God, I'm so sorry.",sad
2955,Ses02M_impro06_F003,49.8500,53.6810,"yeah, I mean, you know, it was a -",sad
2956,Ses02M_impro06_F004,69.6811,74.4200,"I guess we saw it coming and she lasted a lot - a lot longer than, uh, they expected but you know, I mean when it actually happens it's just a lot harder.",sad
2957,Ses02M_impro06_F005,98.4900,100.0300,"It doesn't make any easier, yes.",sad
2958,Ses02M_impro06_F006,107.9600,110.1500,"I mean at least she was home, she wasn't in the hospital anymore,",sad
2959,Ses02M_impro06_F007,117.4822,118.2464,"Oh, man. I'm so sorry.",sad
2960,Ses02M_impro06_F008,135.4980,140.6869,"She was with- yeah  She was with Gary, and he said that she was just sitting there and went to sleep, closed her eyes, and that was it.",sad
2961,Ses02M_impro06_F009,145.7747,148.7923,"It's going to be so rough, I'm sorry.",sad
2962,Ses02M_impro06_F010,156.5503,158.1019,"Yes. I mean, it's not as rough on me as it is on him but",sad
2963,Ses02M_impro06_F011,166.6705,168.5463,"God, it's you know, we've spent so much time with them it's just really surreal, really weird that we're not going to be able to see her anymore and go",sad
2964,Ses02M_impro06_F012,173.6388,178.3072,Yeah.,sad
2965,Ses02M_impro06_F013,186.3551,188.9257,"out to- out to dinner you know and do the troops to California, I mean.",sad
2966,Ses02M_impro06_F014,220.4210,223.2463,Totally.,sad
2967,Ses02M_impro06_F015,233.1349,235.1265,"It's just that- I don't know, it's sort it's sort- of a weird thing you know",sad
2968,Ses02M_impro06_F016,236.4697,238.2529,Yeah,sad
2969,Ses02M_impro06_F017,243.9962,246.0341,"not being able to see anyone again, who knows where they really went, you know. I mean, I guess we can just hope that wherever they are now if it's anywhere that it's better I mean.",sad
2970,Ses02M_impro06_F018,252.1016,254.1164,"Yes. Well, at least you have a lot of good memories.",sad
2971,Ses02M_impro06_M000,11.5200,13.4781,She was [garbage],sad
2972,Ses02M_impro06_M001,18.6500,23.1000,"She really cared about you, you know.",sad
2973,Ses02M_impro06_M002,24.0800,39.1144,"Yes, I mean she cared about all of us. She was great",sad
2974,Ses02M_impro06_M003,41.1400,49.1100,so loving everybody you know.,sad
2975,Ses02M_impro06_M004,51.6000,68.5200,And she was,sad
2976,Ses02M_impro06_M005,75.8700,85.2200,"Gosh, I just hate I just hate to see her go.",sad
2977,Ses02M_impro06_M006,85.8500,98.7934,Yeah.,sad
2978,Ses02M_impro06_M007,99.8200,106.3000,We were all going take a trip to Europe you know.,sad
2979,Ses02M_impro06_M008,110.6000,117.5764,Even if you still do she'll- she'll be there.,sad
2980,Ses02M_impro06_M009,118.1717,135.9394,Yes.  [BREATHING] God.,sad
2981,Ses02M_impro06_M010,141.8896,145.6285,Are you going to be okay?,sad
2982,Ses02M_impro06_M011,148.7303,156.1400,"I just -- I just don't get it, like there is just nothing you can do about it you know, it's like just out of your control and it",sad
2983,Ses02M_impro06_M012,156.1700,159.0500,"just makes it that much harder to deal 'cause as much as you want to, you know, make her better, see her not in any pain, it's like, just I don't know, just has a mind of its own.",sad
2984,Ses02M_impro06_M013,159.1100,165.0540,Then she's gone.,sad
2985,Ses02M_impro06_M014,168.1400,172.8868,"It's going to be okay, I promise.",sad
2986,Ses02M_impro06_M015,179.1531,186.6204,"Well, you know I appreciate you coming over and talking to me, I mean it definitely helps",sad
2987,Ses02M_impro06_M016,187.1193,199.2080,Sure,sad
2988,Ses02M_impro06_M017,199.2311,214.1921,to talk to somebody but,sad
2989,Ses02M_impro06_M018,215.2678,217.8787,you shouldn't be alone,sad
2990,Ses02M_impro06_M019,223.9257,233.6212,"It's just going to take a while, I think.",sad
2991,Ses02M_impro06_M020,234.8486,236.6781,Yes.,sad
2992,Ses02M_impro06_M021,238.2546,243.8107,Ah.,sad
2993,Ses02M_impro06_M022,246.2650,248.3433,Thank you.,sad
2994,Ses02M_impro06_M023,249.1373,252.0553,Yes.,sad
2995,Ses02M_impro07_F000,8.4007,10.5030,"[BREATHING] So, you know I've been hearing back from some colleges.",exc
2996,Ses02M_impro07_F001,13.6194,17.8381,"Oh, yeah? Have you gotten letters yet?",exc
2997,Ses02M_impro07_F002,18.7267,22.6857,Yeah. And guess who accepted me?,sur
2998,Ses02M_impro07_F003,22.7069,25.1307,"Um, I don't know, where?",exc
2999,Ses02M_impro07_F004,31.0413,33.0824,U.S.C..,exc
3000,Ses02M_impro07_F005,34.8528,36.7393,"Oh, U.S.C.? Oh my Gosh, that's awesome, that was your top choice, right?",exc
3001,Ses02M_impro07_F006,39.6095,41.8900,"Oh my Gosh, that's so cool.",exc
3002,Ses02M_impro07_F007,43.1601,50.6653,"Yeah, oh. I - You have no-",exc
3003,Ses02M_impro07_F008,50.6866,52.3900,"God, I-I got this big packet you know, in the mail and it's like-",exc
3004,Ses02M_impro07_F009,57.9792,59.3824,"yes, this is [LAUGHTER], it says U.S.C., like registrar, I mean like, I got-I got some like little letters before you know, it's like oh rejection",exc
3005,Ses02M_impro07_F010,60.2966,64.0030,"[LAUGHTER] It's gotta be it, like-",exc
3006,Ses02M_impro07_F011,69.3500,70.9600,"Oh my Gosh, that's so cool.",exc
3007,Ses02M_impro07_F012,72.3600,73.6300,"but big packet, big packet is nice",exc
3008,Ses02M_impro07_F013,75.3283,77.7400,big packet is gotta be the real thing. yeah,exc
3009,Ses02M_impro07_F014,77.7500,81.2389,"So it's like, yes, rip it open and there it is big - oh, yes.",hap
3010,Ses02M_impro07_F015,85.2147,86.8093,"Oh my Gosh. I thought there was like, maybe going to be some, like I don't know if you are going to get in or not, so I'm really glad that you did.",hap
3011,Ses02M_impro07_F016,87.1070,89.1500,That's so cool.,hap
3012,Ses02M_impro07_F017,89.1600,93.4853,"Yeah. I know, I know.",hap
3013,Ses02M_impro07_F018,93.4953,101.5200,it was you know I wasn't too sure I mean you know it was kind of last minute for like the application,hap
3014,Ses02M_impro07_F019,105.0100,107.0074,and everything like but,hap
3015,Ses02M_impro07_F020,114.2300,117.6000,"Yeah, totally.",hap
3016,Ses02M_impro07_F021,132.2869,133.9240,"it was good, yeah. I mean-",hap
3017,Ses02M_impro07_F022,136.7900,139.0600,So you're going to be right here in Los Angeles; that is so cool.,exc
3018,Ses02M_impro07_F023,139.2800,143.2800,"I know, I know, yea. It'll be interesting you know, I've never -- I mean getting out of Vegas and everything but LA",exc
3019,Ses02M_impro07_F024,148.7900,150.8500,I'm looking forward to it.,hap
3020,Ses02M_impro07_F025,153.3231,159.1397,So can we hang out?,exc
3021,Ses02M_impro07_F026,160.0500,161.5400,"Hey, yes, you know that's - that's what I'm coming for.",exc
3022,Ses02M_impro07_F027,164.0912,166.0000,Yay.,exc
3023,Ses02M_impro07_F028,166.0100,170.8121,You're half the reason I'm going. [LAUGHTER],hap
3024,Ses02M_impro07_F029,171.3800,175.7900,"Oh, yay. Thank you. [LAUGHTER].",hap
3025,Ses02M_impro07_M000,3.3437,8.7809,No but that's an awesome school. That's so cool.,xxx
3026,Ses02M_impro07_M001,10.3086,13.9686,"I know ahh- yeah-, I'm definitely looking forward to it, and I mean they had a great football season last year",xxx
3027,Ses02M_impro07_M002,17.5987,19.0925,"Oh, totally totally.",exc
3028,Ses02M_impro07_M003,22.4553,24.5566,"You know what I mean, I bet the home games, are just like nuts you know.",xxx
3029,Ses02M_impro07_M004,25.2022,29.6828,you get to like be a part of that.,xxx
3030,Ses02M_impro07_M005,30.1215,38.6833,"Like you get to be a part of that. Like the, like the- Like a cult.",xxx
3031,Ses02M_impro07_M006,38.7046,41.1736,What?,exc
3032,Ses02M_impro07_M007,41.2070,46.0942,[LAUGHTER] I know. I mean part of-,exc
3033,Ses02M_impro07_M008,50.8832,52.0800,"[LAUGHTER] like a- like a- [LAUGHTER] No, but I mean like everywhere you go people know who you are.",exc
3034,Ses02M_impro07_M009,52.0900,58.0000,Yeah. Right. A cult. I'm looking forward to being in the cult.,hap
3035,Ses02M_impro07_M010,58.0100,59.4500,"Right I know, like you, it won't hurt, I mean national champions last year, wow, you know",hap
3036,Ses02M_impro07_M011,59.4600,61.2200,Maybe we'll do it again this year.,hap
3037,Ses02M_impro07_M012,61.8100,69.3600,So you know what you are going to do there?,xxx
3038,Ses02M_impro07_M013,69.3700,71.0000,"What's that? ahh Well, you know I'm I'm thinking um I'm leaning towards like communications",exc
3039,Ses02M_impro07_M014,71.0100,74.2000,"I-I don't know. Kind of a broad,",exc
3040,Ses02M_impro07_M015,74.2100,77.7582,"Okay. They have a lot of good schools, right?",exc
3041,Ses02M_impro07_M016,79.2500,85.7800,"yeah, I mean a lot-a lot  of good stuff oh, yeah, I mean it's- it's just a really good school; so really, whatever I pick I can't go wrong. I mean I'm just",xxx
3042,Ses02M_impro07_M017,85.7900,89.2000,"I'm looking forward to getting there. I mean, God, the campus is cool, you know it's like all just very confined I mean just you know it's a college campus you know it's like",exc
3043,Ses02M_impro07_M018,89.2100,90.2200,"Yes, it's intimate.",exc
3044,Ses02M_impro07_M019,90.2900,92.4600,"It's college- oh my God it's college, [GARBAGE] so it's like crazy.",exc
3045,Ses02M_impro07_M020,93.5000,97.8100,I know. It's so cool.,exc
3046,Ses02M_impro07_M021,100.0300,105.2100,"Oh man. So, I don't know you know, we'll see - we'll see how it goes and, yeah, I'm looking forward to it",exc
3047,Ses02M_impro07_M022,105.2200,106.8379,"Fair for you, Wow, oh my Gosh.",exc
3048,Ses02M_impro07_M023,106.8600,114.2900,I mean you got to - you got to show me the ropes 'cause I've never been there before so I mean you know your way around already and- [LAUGHTER],hap
3049,Ses02M_impro07_M024,114.3000,116.8200,I will do the best I can.,hap
3050,Ses02M_impro07_M025,116.8300,123.9700,"Well, there are all kinds of awesome secrets so you'll really enjoy it. It's really great. I'm so glad.",hap
3051,Ses02M_impro07_M026,123.9800,133.3300,"Oh, alright.",hap
3052,Ses02M_impro07_M027,133.3400,137.9600,"I'm-I'm looking forward to that. [BREATHING] man, So yeah, I think I'm going to come out a little early so I mean I'll give you a call and we'll definitely-",xxx
3053,Ses02M_impro07_M028,138.7532,146.4511,Yay,xxx
3054,Ses02M_impro07_M029,146.4611,153.9100,"Okay. Yes, totally come visit",exc
3055,Ses02M_impro07_M030,156.4100,158.2700,"and we'll explore and you going to have such a good time, you're going to fit in so well, it's going to be awesome",hap
3056,Ses02M_impro07_M031,158.2800,166.5386,"[LAUGHTER] Thanks, yes, thanks, yes That'll be cool.",exc
3057,Ses02M_impro07_M032,170.6920,174.8175,So Congratulations. That's awesome.,exc
3058,Ses02M_impro08_F000,5.8326,11.4941,All right. Customer service this is Steve.,exc
3059,Ses02M_impro08_F001,11.5765,17.4979,"Hi. Thank you so much, you're a real person, right, you're not like a recording?",exc
3060,Ses02M_impro08_F002,17.5233,23.6412,"I'm a real person, yes.",exc
3061,Ses02M_impro08_F003,26.2317,31.2805,"Okay. Before I get into it, um your menu or whatever like where you choose the different thing depending on the-",fru
3062,Ses02M_impro08_F004,31.3039,37.8395,"it leads you around in circles, you can't, there is no way to like get to a real person if you don't already know how to get to there.",fru
3063,Ses02M_impro08_F005,51.1141,60.9752,"Right. No, yes I know. It is-It is a little frustrating.",fru
3064,Ses02M_impro08_F006,61.0932,63.8674,"So is there any way to like bypass that because that is so, like I've been going around in circles",neu
3065,Ses02M_impro08_F007,63.8928,69.3915,"like press nine, press zero, press back to the menu, like I can't get through to what I'm supposed to get through to.",neu
3066,Ses02M_impro08_F008,69.5168,73.9495,"I- I'll give you a little hint, next time if it asks if you're on a rotary phone you know, just stay on the line instead of - instead of hitting one or two to say if you're like on a touch tone",neu
3067,Ses02M_impro08_F009,73.9713,79.1524,"pretend like your on a rotary phone, goes straight through to a person.",fru
3068,Ses02M_impro08_F010,80.9592,88.8614,"Okay. Oh, that would just make it so much better, 'cause I cannot handle it's just like oh, my God I can't sit here any longer and talk to this lady with this pleasant voice.",neu
3069,Ses02M_impro08_F011,88.8844,95.1091,I know they don't tell you that kind of thing.,fru
3070,Ses02M_impro08_F012,98.9404,103.3519,"Sorry. Okay. Um-, yes",xxx
3071,Ses02M_impro08_F013,117.4010,121.6994,Alright. Well you got me now.,xxx
3072,Ses02M_impro08_F014,123.0606,125.2593,"Thank you very much. Um  So I have a charge on my credit card that, um, isn't mine.",xxx
3073,Ses02M_impro08_F015,133.6816,134.6960,"Uh, I don't know where it came from and it's actually quite large, and I don't have the money for it so",xxx
3074,Ses02M_impro08_F016,134.7087,138.8649,it really freaks me out when I got my bill because it was like I don't -- I didn't spend this. This is not my charge.,fru
3075,Ses02M_impro08_F017,138.8649,140.6043,"Yea. All right. Well, let me-let me look it up here for a second. Uh, so i think",xxx
3076,Ses02M_impro08_F018,141.4772,144.8732,"Okay, it was um- at the [GARBAGE] sorry, it was at a department store, I think it was Macy's or something",fea
3077,Ses02M_impro08_F019,147.8773,151.8393,"Okay, Alright, yeah. I- I see it on here.",neu
3078,Ses02M_impro08_F020,164.0735,165.2490,"and it was like something like eight hundred dollars. I don't remember. It was just a lot and I have thing in front of me right now, but-",sur
3079,Ses02M_impro08_F021,165.9457,173.0192,"All right. Well, you know that's, that's what we have all of our protection plans for and everything like that so I mean it's",xxx
3080,Ses02M_impro08_F022,183.2845,185.0723,Okay. So is there something I can do to get rid of it?,xxx
3081,Ses02M_impro08_F023,187.3229,188.6099,it- it'll work out fine.,hap
3082,Ses02M_impro08_F024,190.8923,191.8940,"Yes, we'll get- we'll get rid of it right now. I mean just we're going to have to have you, um, submit something you know, we're going to have to have you mail something in for us, okay.",hap
3083,Ses02M_impro08_F025,199.9925,201.4292,"So- So you can um find that application. You have the Internet, you can go to our website.",neu
3084,Ses02M_impro08_F026,204.8688,206.1096,"Oh I can get the form right now? Oh, that'll be so much better.  Okay.",neu
3085,Ses02M_impro08_F027,208.1123,209.3096,Yeah. Yeah. You get the form right now. and- yeah,neu
3086,Ses02M_impro08_F028,210.1273,213.7030,"We could mail it to you as well, but-",hap
3087,Ses02M_impro08_F029,214.6648,216.1669,-But online is faster I can do that.,xxx
3088,Ses02M_impro08_F030,216.1796,218.7792,"Right. You can go online, print it out, and just fill out the form and um- send it to us um- you know,  regarding the grievance and-",hap
3089,Ses02M_impro08_M000,3.6166,6.0102,and it'll get taken off um- no problem you know,neu
3090,Ses02M_impro08_M001,10.9934,13.1234,Okay.,xxx
3091,Ses02M_impro08_M002,22.6205,27.3120,'Cause I-I just don't know how someone could have gotten my charge information,neu
3092,Ses02M_impro08_M003,37.9230,48.3927,I mean I still have my card.,neu
3093,Ses02M_impro08_M004,48.4404,51.3750,Right. I mean we might,neu
3094,Ses02M_impro08_M005,55.1628,57.5574,Okay.,neu
3095,Ses02M_impro08_M006,62.0289,63.8421,So is there any- I mean what if they spend something again?,xxx
3096,Ses02M_impro08_M007,78.1955,82.6714,"Uh, I mean have you been shopping around on the Internet and stuff? I mean that you gave-",neu
3097,Ses02M_impro08_M008,87.5150,90.9077,I did buy one thing on ebay I don't know that might-,neu
3098,Ses02M_impro08_M009,94.4263,100.1059,"Uh-ha, I mean usually sites are pretty well protected but sometimes I mean information gets out, so",neu
3099,Ses02M_impro08_M010,100.1566,102.0586,so it is a little a little hard in that situation if you want -- you know you can -um- we can- we can issue another credit card.,neu
3100,Ses02M_impro08_M011,103.2505,112.7768,"Oh, really?",neu
3101,Ses02M_impro08_M012,112.8186,118.1843,"Yeah, yeah. Maybe we'll, uh-",neu
3102,Ses02M_impro08_M013,118.8972,121.6360,"Oh that'll be great 'cause I could just get a new number, would that be okay because that way I don't have to worry about it happening again?",neu
3103,Ses02M_impro08_M014,121.6487,124.0197,it's a different number and everything,neu
3104,Ses02M_impro08_M015,124.3367,132.5278,Yeah. yeah.,neu
3105,Ses02M_impro08_M016,132.5405,135.3819,"Yes, um but  for- for that- for that charge we will need you to send something in but we can get you processed immediately for this, for this, for this new card. It still goes to the same address, right?",neu
3106,Ses02M_impro08_M017,138.8867,140.1928,"Yes, absolutely.",neu
3107,Ses02M_impro08_M018,140.7806,141.9234,Okay. All right. Then we'll get it sent out there. And,neu
3108,Ses02M_impro08_M019,144.3452,148.4281,Great.,neu
3109,Ses02M_impro08_M020,149.9623,157.3799,And you know just I mean be careful in the future if um,neu
3110,Ses02M_impro08_M021,157.3926,164.5089,Yeah.,neu
3111,Ses02M_impro08_M022,164.5313,166.1633,if you're ever online or anything like that I mean just make sure it's a secure site and,neu
3112,Ses02M_impro08_M023,167.4856,169.3876,"and never you know, give it to anyone out, never even give out your number to any like unreliable company that you haven't heard of or anything like that, all right? Because, um, we want to- we definitely want to help you out, but-",neu
3113,Ses02M_impro08_M024,170.5161,172.3926,"Right, right.",neu
3114,Ses02M_impro08_M025,172.9118,183.6004,"Okay, great.",neu
3115,Ses02M_impro08_M026,183.9704,187.7147,"Yeah, totally.",neu
3116,Ses02M_impro08_M027,187.7365,191.1325,you know it gets- it gets difficult you know so Alright.,neu
3117,Ses02M_impro08_M028,191.4882,197.1767,Well thank you so much. You've been very helpful. I really appreciate it.,neu
3118,Ses02M_impro08_M029,197.3020,208.1746,"Alright Yes, I'm sorry for all the inconvenience but we'll get it taken care of.",neu
3119,Ses02M_impro08_M030,208.2000,212.2955,[BREATHING] Thank you.,neu
3120,Ses02M_impro08_M031,212.7393,216.2770,Thank you very much bye.,neu
3121,Ses02M_script01_1_F000,5.2300,8.7100,"What's he going to say, maybe we ought to tell him before he sees it.",xxx
3122,Ses02M_script01_1_F001,9.4800,13.4500,He saw it.,xxx
3123,Ses02M_script01_1_F002,14.9400,16.1300,How could he see it? I was the first one up he was still in bed.,xxx
3124,Ses02M_script01_1_F003,25.2800,28.3300,He was out here when it broke.,xxx
3125,Ses02M_script01_1_F004,33.6200,35.3700,When?,xxx
3126,Ses02M_script01_1_F005,38.9500,41.4000,About four this morning. I heard it cracking and I woke up and looked out. He was standing right here when it cracked.,xxx
3127,Ses02M_script01_1_F006,44.3000,52.6700,What was he doing out here at four in the morning?,xxx
3128,Ses02M_script01_1_F007,54.4100,59.8700,I don't know. When it cracked he ran into the house and cried in the kitchen.,xxx
3129,Ses02M_script01_1_F008,66.8300,68.2200,So you talked to him?,xxx
3130,Ses02M_script01_1_F009,72.9900,74.8400,No. I figured it was best to leave him alone.,xxx
3131,Ses02M_script01_1_F010,80.6700,83.4600,He cried hard?,fru
3132,Ses02M_script01_1_F011,101.0600,103.3900,I could hear him right through the floor in my room.,fru
3133,Ses02M_script01_1_F012,104.2300,106.6900,"What was he doing out here at that hour? He's dreaming about him again, he's walking around at night.",fru
3134,Ses02M_script01_1_F013,110.4300,117.7400,I guess he is.,fru
3135,Ses02M_script01_1_F014,119.7800,127.2100,He's getting just like after he died. What is the meaning of that?,xxx
3136,Ses02M_script01_1_F015,136.0800,139.8400,"I don't know the meaning of it, but I know one thing mom, we've made a terrible mistake with dad.",neu
3137,Ses02M_script01_1_F016,143.5000,146.2500,What?,xxx
3138,Ses02M_script01_1_F017,147.7500,151.5900,Being dishonest with him. I mean that sort of thing always pays off and now it's paying off.,fru
3139,Ses02M_script01_1_F018,154.5400,158.0500,What do you mean dishonest?,neu
3140,Ses02M_script01_1_F019,158.3600,160.2000,You know that Larry is not coming back and I know it. Why do we allow him to go on thinking that we believe with him?,fru
3141,Ses02M_script01_1_F020,168.8200,172.7800,"What do you want to do, argue with him?",xxx
3142,Ses02M_script01_1_F021,173.8500,179.0300,"No I don't want to argue with him, but it's about time he realized that nobody believes Larry is alive anymore.",neu
3143,Ses02M_script01_1_F022,179.0400,186.7300,"Why -- why shouldn't he dream of him? Walk around, waiting for him at night I mean do we contradict him, do we say straight out that we don't have any hope anymore that we haven't had hope for years now?",fru
3144,Ses02M_script01_1_F023,197.4800,200.7200,You can't say that to him.,neu
3145,Ses02M_script01_1_F024,201.6700,204.1900,We've got to say it to him.,fru
3146,Ses02M_script01_1_F025,206.6200,210.6100,"Can you prove it, how can you prove it?",neu
3147,Ses02M_script01_1_F026,223.3200,227.1300,"For God sakes it's been three years, nobody comes back after three years, that's insane.",ang
3148,Ses02M_script01_1_F027,229.7400,233.0900,To you it is and to me. You can talk yourself blue in the face but there is no body and no grave so where are you?,ang
3149,Ses02M_script01_1_F028,235.9900,242.8200,Sit down mom; I want to talk to you.,fru
3150,Ses02M_script01_1_F029,253.3200,260.8900,"The trouble is the god damned newspapers, every month or so a boy turns up out of nowhere, so the next one is going to be Larry.",fru
3151,Ses02M_script01_1_F030,260.9300,265.6000,All right. All right. Listen to me.,fru
3152,Ses02M_script01_1_F031,266.7900,269.2700,You know why I brought Annie here don't you?,xxx
3153,Ses02M_script01_1_F032,283.8200,286.2600,You know.,ang
3154,Ses02M_script01_1_F033,290.4400,293.2500,I got an idea but what's the story?,ang
3155,Ses02M_script01_1_F034,296.6200,299.7000,I'm going to ask her to marry me.,ang
3156,Ses02M_script01_1_F035,301.4500,304.0400,"Well that's only your business, Chris.",ang
3157,Ses02M_script01_1_F036,320.7100,323.5700,No it's not only my business.,ang
3158,Ses02M_script01_1_F037,326.6500,329.4100,What do you want me to do; you're old enough to know your own mind.,ang
3159,Ses02M_script01_1_F038,329.6900,338.5800,So it's all right then I'll go ahead with it?,xxx
3160,Ses02M_script01_1_F039,342.3100,344.7800,"Well, you want to make sure that your father isn't-",fru
3161,Ses02M_script01_1_F040,347.9200,350.8100,See it isn't just my business-,fru
3162,Ses02M_script01_1_F041,354.1000,356.1800,I'm just saying,sad
3163,Ses02M_script01_1_M000,8.3600,9.7900,Sometimes you infuriate me you know that. Isn't it your business to if I tell dad and he throws a fit about it? You have such a talent for ignoring things.,xxx
3164,Ses02M_script01_1_M001,13.2900,15.1400,I ignore what I got to ignore. The girl is Larry's girl.,xxx
3165,Ses02M_script01_1_M002,16.5400,24.3000,She's not Larry's girl.,xxx
3166,Ses02M_script01_1_M003,28.1700,33.9700,From father's point of you he isn't dead and you have no right to take his girl.,sad
3167,Ses02M_script01_1_M004,34.9500,38.9700,"You can go on from there if you know where to go but I don't know where to go, see I don't know. So what can I do for you?",sad
3168,Ses02M_script01_1_M005,41.6600,44.6200,"I don't know why but every time I reach out for something that I really want, I have to pull back 'cause someone else will suffer. My whole bloody life, time after time after time.",sad
3169,Ses02M_script01_1_M006,52.4100,54.2600,You're a considerate fellow.  There's nothing wrong with that.,xxx
3170,Ses02M_script01_1_M007,60.4400,67.2300,To hell with that.,xxx
3171,Ses02M_script01_1_M008,68.3800,73.2900,Have you asked Annie yet?,xxx
3172,Ses02M_script01_1_M009,74.8400,81.7200,I wanted to get this settled first.,fru
3173,Ses02M_script01_1_M010,82.8900,90.2400,How do you know she'll marry you? Maybe she feels the same way your father does.,fru
3174,Ses02M_script01_1_M011,90.3500,102.4200,"Well, if she does then that's the end of it. From her letters I think she's forgotten him.",fru
