,Unnamed: 0,file_ids,start_times,stop_times,texts,labels
2110,2110,Ses02F_impro07_M000,6.7677,9.5033,"I mean because you went to the campus before, right?",neu
8627,8627,Ses05F_script01_3_M015,153.7129,157.2081,I don't know how to start.,xxx
3094,3094,Ses02M_impro08_M005,55.1628,57.5574,Okay.,neu
6118,6118,Ses04F_impro07_F061,307.32,309.12,No.  An I got accepted to U.S.C. party. [LAUGHTER],exc
8187,8187,Ses05F_impro05_F021,184.96,198.73,Um- It's a travel backpack.  It's green and gray.  It's got my name on it and my information.,ang
8123,8123,Ses05F_impro04_M001,25.96,31.02,You can.,neu
3315,3315,Ses02M_script02_1_F002,48,49.83,"I would have wanted to go a little further up the coast, get away from the lights and the people but I was afraid we'd miss it.",fru
8095,8095,Ses05F_impro04_F020,224.13,226.81,"Well, of course not--",fru
6561,6561,Ses04F_script02_2_F002,18.39,25.72,What I said.,ang
3548,3548,Ses02M_script03_2_F009,53.9821,55.8816,"Just a little perhaps, nothing serious.",neu
6263,6263,Ses04F_impro08_M013,129.45,138.09,Cindy?  Cindy what?,ang
1383,1383,Ses01M_script01_2_M003,34.71,37.21,What do you want me to do?  What do you want?,fru
5731,5731,Ses04F_impro01_F019,150.5,152.54,fill out this form and wait,ang
9147,9147,Ses05M_impro04_F033,232.95,236.83,"Right.  Maybe you have, like, you know a little bit of an abrasive vibe or something.",fru
1658,1658,Ses01M_script03_1_F010,61.14,62.5,Yes... Hello?  Hello?  I'm sorry what's that?,hap
330,330,Ses01F_impro07_M008,64.6275,67.24,"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.",exc
2039,2039,Ses02F_impro06_F002,25.52,32.26,"Wow, that's horrible.",sad
5120,5120,Ses03M_impro08b_F000,12.94,15.58,Hello.,xxx
7082,7082,Ses04M_impro05_M006,44.16,56.15,"Look, can I just -- can I speak to your manager, please?  'Cause I- I really -- I don't, um -- I mean, I just don't want to deal with -- I know that -- I mean, I know this isn't your fault,",fru
6120,6120,Ses04F_impro07_F063,311.66,314.29,A party celebrating your acceptance.,exc
952,952,Ses01M_impro02_M004,38.61,41.33,You're going to be fine.,xxx
4381,4381,Ses03F_script02_2_F043,373.4745,381.5461,I don't want to remember something.,hap
6242,6242,Ses04F_impro08_F018,205.4,208.91,"Did you try to take them back and get your order fixed, sir?",fru
4704,4704,Ses03M_impro02_M023,137.365,140.0196,I'm done.  I can't honey.,fru
3125,3125,Ses02M_script01_1_F004,33.62,35.37,When?,xxx
1145,1145,Ses01M_impro05_M028,181.495,186.82,That's fantastic.,ang
7772,7772,Ses04M_script03_2_M014,77.75,80.5642,You're quite insufferable.  I expected it's because you're drunk.,ang
7364,7364,Ses04M_script01_1_M013,105.19,106.9187,So what?  I'm not fast with women.,ang
7076,7076,Ses04M_impro05_M000,4.7502,9.71,But it's not.  It's yours.  I understand.,fru
1147,1147,Ses01M_impro05_M030,199.27,200.3975,[BREATHING],fru
971,971,Ses01M_impro02_M023,183.77,189.08,I'll send you a letter every single day.,sad
4338,4338,Ses03F_script02_2_F000,8.5564,11.2227,So what do you think?,neu
4722,4722,Ses03M_impro03_F003,25.1665,28.925,What?,exc
5863,5863,Ses04F_impro03_F050,267.59,273.67,"Come on.  Please will you do the greens and browns, just the browns for me?",exc
8820,8820,Ses05F_script03_1_F031,227.94,232.65,"How long will it last, this overbearing love of ours?",hap
761,761,Ses01F_script03_1_M021,136.5,140.4925,"Oh Charles, that was his name.  He did wiggle so beautifully.",exc
2862,2862,Ses02M_impro04_F011,145.0661,155.5569,"I don't know, I mean why - why",neu
6758,6758,Ses04F_script03_2_F032,194.28,196.22,Just making myself fascinating for you.,xxx
8085,8085,Ses05F_impro04_F010,108.31,116.04,It's not fair.,fru
3815,3815,Ses03F_impro04_M011,90.6176,91.9795,[BREATHING] Brian-,neu
2760,2760,Ses02M_impro02_F004,33.4566,37.3201,"You won't be. I'll be back; I'll be back before you know it. All right, and",sad
6686,6686,Ses04F_script03_1_F028,192.97,198.61,flippancy brings out the acid in their damn sweetness and light.,exc
9313,9313,Ses05M_impro07_F041,173.64,175.85,"Yeah. I think it's really also if you- if you consider yourself like, us and them, kind of thing- If you think you're part of your community then --you going to like it more",exc
6693,6693,Ses04F_script03_1_M004,18.91,20.66,"Oh, dear shall we like that?",xxx
7917,7917,Ses05F_impro02_M014,103.9163,108.13,What are you going to do that's any different than anybody else?,ang
9893,9893,Ses05M_script03_1_M034,238.73,245.38,You knew there was nothing in that.,xxx
9480,9480,Ses05M_script01_1_M016,141.71,143.15,So what?  I'm not fast with women.,neu
1446,1446,Ses01M_script01_3_M017,184.65,194.6563,you know over seas I was in command of the company?,xxx
9679,9679,Ses05M_script01_3_M030,278.66,291.36,"I mean, the whole thing was like some kind of bus accident to them.",sad
8324,8324,Ses05F_impro07_F002,9.23,10.25,I got into college.,exc
993,993,Ses01M_impro03_F019,120.03,123.64,Well I've known people who have done this before. Yeah.  You just- it's really fun actually 'cause you have like a fake engagement party and all your friends come over and like...,exc
8835,8835,Ses05F_script03_1_M012,74.92,78.21,"I don't mind what you do, see, you could paint your body green all over and dance naked through the Place Vendome and run off with every man in the world.  And I shan't say a word as long as I know that you love me best.",xxx
3524,3524,Ses02M_script03_1_M019,106.7203,112.7727,"Horrible thing, I hated it.",exc
3396,3396,Ses02M_script02_2_F015,144.71,151.11,For heavens sake we are not going to see the Grunions.,sad
9970,9970,Ses05M_script03_2_M031,179.6,183.24,Very amusing indeed.,ang
8287,8287,Ses05F_impro06_F021,159.87,164.77,"Is he an actor too, or-?",sad
144,144,Ses01F_impro04_F024,153.18,155.2925,Yeah.  Do you have a resume?,fru
1330,1330,Ses01M_script01_1_M008,76.7,82.3525,"Well, how do you know she's going to marry you?  Maybe she feels same way your father does.",fru
1672,1672,Ses01M_script03_1_F024,152.6656,155.35,Mmm...,hap
4610,4610,Ses03M_impro01_F023,132.28,142.8425,"Well I'm going to have to call- security because sir, you- there are hundreds of people waiting in line at this D.M.V.-- --We're closing in about half an hour...",xxx
1618,1618,Ses01M_script02_2_M025,265.38,269.6874,Right.,neu
2522,2522,Ses02F_script02_2_M019,183.18,192.22,Right.,neu
764,764,Ses01F_script03_1_M024,155.115,167.7,I know you did.  You threw him out the window into the Grand Canal.  I'll never forgive you for that.,exc
1277,1277,Ses01M_impro07_M033,204.81,206.6,Pull over..,hap
8891,8891,Ses05F_script03_2_F034,212.22,215.05,"No, it's not.",ang
9050,9050,Ses05M_impro03_F002,12.94,13.96,"I did it, I asked her to marry me.",exc
7329,7329,Ses04M_script01_1_F022,172.12,176.8251,Why shouldn't he dream of him?  Walk the nights waiting for him.,ang
5517,5517,Ses03M_script02_2_M016,144.6375,151.0075,Right.,xxx
7493,7493,Ses04M_script01_3_M028,212.5508,227.36,"There was no meaning in it here.  The whole thing to them was some sort of bus accident.  Then I went to work for dad and that whole rat race again.  I felt, what you said, ashamed somehow",sad
3044,3044,Ses02M_impro07_M019,90.29,92.46,"It's college- oh my God it's college, [GARBAGE] so it's like crazy.",exc
6351,6351,Ses04F_script01_1_M024,190.29,201.51,"and everything would be happy and we would have a regular wedding.  But if that can't happen here, then I'll have to get out.",fru
7468,7468,Ses04M_script01_3_M003,35.15,36.35,"I kissed you.  I kissed Annie.  How long, how long I've waited to kiss you.",xxx
5376,5376,Ses03M_script01_3_M040,357.8637,370.2505,I want you now Annie.,sad
5479,5479,Ses03M_script02_2_F028,257.7474,260.555,"No, of course not.",fru
5225,5225,Ses03M_script01_1_M010,90.0851,96.7118,I wanted to get this settled first.,fru
2473,2473,Ses02F_script02_2_F016,149.74,159.76,Why not?,sad
4521,4521,Ses03F_script03_2_F023,163.67,170.02,I don't see why you want it; you've already had two glasses.,ang
5572,5572,Ses03M_script03_1_F024,208.68,214.3925,Don't laugh at me.  I'm serious.,xxx
3949,3949,Ses03F_impro07_M003,15.0537,16.7835,Who-whooooo. Miss Acti- Acting Pants.,neu
4609,4609,Ses03M_impro01_F022,126.4424,131.1615,I'm not going anywhere.  I'm staying right here.,ang
8402,8402,Ses05F_impro08_F003,36.61,39.34,Okay.,neu
4122,4122,Ses03F_script01_1_M029,257.4963,260.8175,What the hell is this?,neu
7540,7540,Ses04M_script02_1_M015,118.55,120.82,This isn't a moon landing we're talking about.  It's fish.  It's fish nobody even eats.,neu
6661,6661,Ses04F_script03_1_F003,17.34,19.16,Nobody knows we're here except Freda and she wouldn't ring up.,xxx
0,0,Ses01F_impro01_F000,6.2901,8.2357,Excuse me.,neu
7185,7185,Ses04M_impro07_F022,171.1,173.99,"I'm guessing, you know it's like I I checked it out.  And, like, they have a decent history program.",exc
543,543,Ses01F_script02_1_F004,49.22,51.4,No.  That's just foam.  I don't know.  I can't tell.,neu
349,349,Ses01F_script01_1_F007,58.95,60.88,What was he doing out here at four o clock in the morning?,xxx
9715,9715,Ses05M_script02_1_M002,40.69,56.78,So let's go.,exc
8012,8012,Ses05F_impro03_M006,17.85,19.88,"Oh, did she cry?",exc
8118,8118,Ses05F_impro04_F043,389.8,391.11,That's really hard to hear.,neu
2407,2407,Ses02F_script02_1_F018,201.77,211.47,Yeah.,fru
457,457,Ses01F_script01_2_M011,106.61,108.1825,Calm yourself.,fru
3043,3043,Ses02M_impro07_M018,89.21,90.22,"Yes, it's intimate.",exc
8250,8250,Ses05F_impro05_M038,280.97,283.44,How can I guarantee finding your luggage when it's lost?,fru
8266,8266,Ses05F_impro06_F000,10.2102,15.607,What's wrong Melissa?,sad
2620,2620,Ses02F_script03_2_F004,31.16,34.1,"Ah, yes, I remember it well.  Bristling with diamonds in the worst possible taste.",xxx
9127,9127,Ses05M_impro04_F013,134.6,136.23,"Well, I mean, right now I'm just doing a little bit of everything.  And I don't- I don't think that I'm in like a profession, like career oriented place.",neu
3014,3014,Ses02M_impro07_F019,105.01,107.0074,and everything like but,hap
131,131,Ses01F_impro04_F011,69.43,70.94,He's like a house manager. Yeah.  It's a good job.,xxx
1509,1509,Ses01M_script02_1_M011,82.2739,87.475,That's my point.,neu
3317,3317,Ses02M_script02_1_F004,54.95,60.17,Fine.,fru
3015,3015,Ses02M_impro07_F020,114.23,117.6,"Yeah, totally.",hap
8695,8695,Ses05F_script02_1_M022,186.09,187.76,Yes.,xxx
2388,2388,Ses02F_script01_3_M036,353.64,357.87,What'll I do with a fortune?,xxx
2018,2018,Ses02F_impro05_M003,39.82,47.17,"[BREATHING] Well, sure, yeah, I guess I'll go buy dinner and then be--have nothing for the rest of my entire vacation.  I'm supposed to be here for three weeks.  What am I gonna do without anything for three weeks?",neu
2412,2412,Ses02F_script02_1_M000,5.29,8.89,I'm cold.,exc
6973,6973,Ses04M_impro03_M015,129.68,131.06,"Yeah, yeah.",exc
9711,9711,Ses05M_script02_1_F019,254.6,257.18,There is no point in coming out here.,fru
1224,1224,Ses01M_impro07_F015,88.4125,92.41,You should...You should look into that.,exc
6691,6691,Ses04F_script03_1_M002,11.43,12.79,We always want to bicker and fight.,fea
592,592,Ses01F_script02_1_M027,188.88,190.47,"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?",fru
5780,5780,Ses04F_impro02_F019,228.31,233.89,Look we both knew what this meant when I signed on,fru
7173,7173,Ses04M_impro07_F010,81.54,83.31,"That's amazing.  I've seen it on TV. Um, Wow.  I mean, well what are you going to major in?  What are you going to do?",exc
7787,7787,Ses04M_script03_2_M029,151.83,155.36,They're away in Tunis.,ang
1498,1498,Ses01M_script02_1_M000,3.3988,8.55,"Oh yeah, I'm so excited right now I'm like a kid.",exc
932,932,Ses01M_impro02_F006,53.495,54.995,Are you kidding me?,fru
5224,5224,Ses03M_script01_1_M009,79.187,87.9758,Did you ask Annie yet?,ang
7948,7948,Ses05F_impro03_F003,11.58,12.7187,I'm getting married.,exc
4486,4486,Ses03F_script03_1_M020,124.8432,143.13,It went on intermittently for days.,exc
4983,4983,Ses03M_impro05b_M013,95.22,102.04,Who are you going to fire because of that?,ang
5375,5375,Ses03M_script01_3_M039,351.365,357.7111,And you still feel that way?,sad
5339,5339,Ses03M_script01_3_M003,41.6308,44.1605,"Oh God.  Annie, I kissed Annie.  I kissed Annie.",xxx
5852,5852,Ses04F_impro03_F039,199.93,202.49,Why not browns?,xxx
8656,8656,Ses05F_script02_1_F003,51.37,55.58,"Is that--no, no no is that foam?  I can't even tell, although if I- if I can't tell, it probably isn't it?  Right It'll probably be unmistakable, but don't you think?  How you doing?",xxx
265,265,Ses01F_impro06_F007,59.4525,67.4525,That's sweet.,sad
7457,7457,Ses04M_script01_3_F020,181.07,184.1,"You think this is wrong, don't you; this yard, this chair?  I want you to be ready for me.  I don't want to win you away from anything.",xxx
4161,4161,Ses03F_script01_2_F014,95.58,100.56,Then why is she married? Then why isn't she married? She's been in New York and there's hundreds of single men there.,xxx
2586,2586,Ses02F_script03_1_M005,23.91,28.8,"Well, what happens if one of us dies?  I mean, does the one that's left still laugh?",neu
3208,3208,Ses02M_script01_1_M045,351,354.18,"Yea, I can see that.",xxx
8113,8113,Ses05F_impro04_F038,353.5,356.19,"Of course, you're worried.  We're all worried.  I'm worried for you.  Everyone's always worried.  You know, I don't-maybe I have a job and yeah, it's a good job whatever and I'm happy, but it doesn't mean I'm going to have it tomorrow or the next day.  You never know what's going to happen.  Something crazy could happen tomorrow.	Something crazy can happen for you tomorrow and you'll get a job.  You never know.  You can walk up to somebody on the street and it'll be something great.  You've just got to be positive.  You're so negative all the time.",neu
3859,3859,Ses03F_impro06_F001,13.5951,16.7102,Okay.,sad
735,735,Ses01F_script03_1_F027,237.4,242.26,Who's they?,xxx
8998,8998,Ses05M_impro02_F008,59.82,60.81,And they didn't care?,sur
3038,3038,Ses02M_impro07_M013,69.37,71,"What's that? ahh Well, you know I'm I'm thinking um I'm leaning towards like communications",exc
316,316,Ses01F_impro07_F011,89.56,94.815,I know. We should throw a party.,xxx
6627,6627,Ses04F_script02_2_M020,219.52,231.52,"you know what you get Carla, this.",neu
9701,9701,Ses05M_script02_1_F009,137.03,138.46,"Oh, no, of course, our flashlight.  Me flashlight is to you flashlight, naturally.",xxx
7366,7366,Ses04M_script01_1_M015,119.87,122.34,Because it is.,xxx
5266,5266,Ses03M_script01_2_F003,31.0611,33.5056,"Well maybe, maybe he just wanted to see her.",xxx
5216,5216,Ses03M_script01_1_M001,19.265,21.9192,She's not Larry's girl.,sad
9533,9533,Ses05M_script01_1b_F028,279.14,286.71,You know.,sad
5053,5053,Ses03M_impro07_M024,132.89,135.38,"It took them, oh man, it took them like, I mean what it's like April now and any letters that come in April are usually the rejection letters so I was just like...",exc
1482,1482,Ses01M_script02_1_F009,153.51,155.79,What flashlight?,hap
8216,8216,Ses05F_impro05_M004,33.99,37.9253,"Right, but part of the agreement is that I'm paying so that I can take myself and my belongings with me.",neu
103,103,Ses01F_impro03_M008,42.09,43.41,Really? Penny slots?,neu
6259,6259,Ses04F_impro08_M009,79.99,87.16,What's your name?,xxx
8145,8145,Ses05F_impro04_M023,274.69,276.6,"not tall enough, not pretty enough, not--you know how this place is.",fru
7688,7688,Ses04M_script03_1_M017,104.9227,108.22,"Oh, Charles; that was his name, Charles.  Oh, he did wriggle so beautifully.",xxx
3941,3941,Ses03F_impro07_F031,168.3494,171.4587,"We're not twenty one yet, but whatever.",neu
1078,1078,Ses01M_impro04_M025,189.3,190.8275,That's it.,neu
9398,9398,Ses05M_impro08_M002,34.13,35.79,And hit enter.,neu
1496,1496,Ses01M_script02_1_F023,319.61,321.82,What's wrong?  Are you okay?  Huh?  You cold?,ang
8151,8151,Ses05F_impro04_M029,315.97,317.34,But um--,neu
8569,8569,Ses05F_script01_2_M002,19.47,29.24,I want you to pretend like he's coming back!,neu
2997,2997,Ses02M_impro07_F002,18.7267,22.6857,Yeah. And guess who accepted me?,sur
7203,7203,Ses04M_impro07_M000,7.29,18.97,Yeah.,exc
5026,5026,Ses03M_impro07_F021,134.87,142.26,"Oh man I am so proud of you, that is...how did you get...I mean what did you do?  How did you find out or what...?",xxx
5545,5545,Ses03M_script02_2_M044,428.3109,432.9811,Shh.  If we're very quiet the fish might come.,xxx
1190,1190,Ses01M_impro06_M012,96.5029,97.96,Yeah.,sad
3016,3016,Ses02M_impro07_F021,132.2869,133.924,"it was good, yeah. I mean-",hap
7670,7670,Ses04M_script03_1_F030,225.08,227.4261,Who knows.,exc
7692,7692,Ses04M_script03_1_M021,139.1744,147.1219,It went on intermittently for days.,exc
2542,2542,Ses02F_script02_2_M039,337.84,339.03,It's not champagne.,sur
8449,8449,Ses05F_impro08_M016,134.19,135.92,yeah.,neu
8,8,Ses01F_impro01_F008,56.16,58.8225,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru
7237,7237,Ses04M_impro07_M034,218.63,223.06,I'll take that in consideration.  Alright.,xxx
1369,1369,Ses01M_script01_2_F004,41.18,44.7,Don't look at me like that.  He didn't tell me anything he told you.,ang
1671,1671,Ses01M_script03_1_F023,142.61,145.6086,Ah...Strange...,xxx
7910,7910,Ses05F_impro02_M007,54.18,59.57,I don't think there's anything we can do.,xxx
8606,8606,Ses05F_script01_3_F021,241.576,243.2685,"Chris, I've been ready for a long time.",neu
567,567,Ses01F_script02_1_M002,16.96,20,I'm cold.,exc
4522,4522,Ses03F_script03_2_F024,177.9925,180.95,"No particular reason. Anyhow, they were very small ones.",xxx
1785,1785,Ses01M_script03_2_M010,70.2675,73.5745,"Oh, mind you own business.",xxx
8487,8487,Ses05F_script01_1_F021,194.8,198.46,"What are you going to do, argue with him?",fru
8024,8024,Ses05F_impro03_M018,75.56,80.13,Exactly.,xxx
2029,2029,Ses02F_impro05_M014,182.6,189.65,There needs to be better security here.,neu
9224,9224,Ses05M_impro05_M007,44.73,46.1,"I should hope so.  You know, I need that today.",neu
1199,1199,Ses01M_impro06_M021,163.73,165.86,Umm...,sad
3297,3297,Ses02M_script01_3_M022,190.9891,196.812,gee.,sad
9813,9813,Ses05M_script02_2_M027,305.98,307.31,Really?,xxx
8715,8715,Ses05F_script02_2_F007,75.3192,79.22,"Yeah, they are all told the same thing.  They are all told that you know.  Gets them excited and they can't wait and that if they just get in on the right spot, than you than maybe life will start",fru
2701,2701,Ses02F_script03_2_M041,224.2,231.03,You're not.,ang
1188,1188,Ses01M_impro06_M010,83.7526,87.234,"It leaves a hole for you too, in your plans together.",sad
5866,5866,Ses04F_impro03_M000,7.06,9.98,I'm your best friend,neu
9418,9418,Ses05M_impro08_M022,187.72,189.57,Uh huh Uh huh We want you to be happy.  You're our customer.  You're the most important thing. Okay?,neu
9712,9712,Ses05M_script02_1_F020,347.37,348.72,Right.,xxx
6513,6513,Ses04F_script02_1_F020,286.54,288.43,I'm cold.,fru
9750,9750,Ses05M_script02_2_F003,24.65,35.74,It's ridiculous.,xxx
4618,4618,Ses03M_impro01_M005,34.7209,36.3225,Well then you won't have a license will you?,fru
7412,7412,Ses04M_script01_2_F016,111.04,114.69,"Oh.  Now listen, kid.",ang
3387,3387,Ses02M_script02_2_F006,54.83,59.2,"Well, I'm not the only one look at all these people.",ang
3412,3412,Ses02M_script02_2_F031,281.09,286.4,"""the Grunion are running tonight,"" I said ""great, let's go, I feel lucky,""",sad
7168,7168,Ses04M_impro07_F005,58.77,60.72,I didn't even,xxx
6170,6170,Ses04F_impro07_M033,140.75,141.79,and like most places really.,neu
4038,4038,Ses03F_impro08_M026,157.11,160.24,"Oh, my God.",fru
36,36,Ses01F_impro02_F006,64.255,68.47,"I don't know, it's just not fair.  I think you've already made your sacrifice.",neu
7077,7077,Ses04M_impro05_M001,9.73,12.97,I know.  We want to work with you.  We will give you the fifty dollars but I'm--,xxx
7243,7243,Ses04M_impro07_M040,245.71,252.16,"'cause, you know, I mean, it's like If I ever want to go south of campus",neu
2210,2210,Ses02F_script01_1_F016,131.63,133.08,"I don't know the meaning of it.  But, I know one thing Mom, we made a terrible mistake with Dad.",xxx
5426,5426,Ses03M_script02_1_M020,151.2887,159.4875,"Okay.  But it's fish that do something that no other fish do.  Like the swallows in Capistrano or the Lemmings that throw themselves off the cliffs, there's magic here and some mystery and a little bit of unexplainable.",fru
6496,6496,Ses04F_script02_1_F003,45.93,48.78,"Is that, is that-that's just foam isn't it?  I can't even tell",xxx
8660,8660,Ses05F_script02_1_F007,111.23,113.74,It's not your flashlight.,neu
850,850,Ses01F_script03_2_M030,233.405,235.7308,"I won't.  Let go, let go of me. Listen, listen?  I'm sick and tired of listening to you, you sadistic bully.",ang
6032,6032,Ses04F_impro06_F001,55.07,67.07,Thanks.,sad
6088,6088,Ses04F_impro07_F031,139.15,141.46,They have- they have that,exc
577,577,Ses01F_script02_1_M012,65.727,73.01,Not particularly.,fru
4271,4271,Ses03F_script02_1_F000,24.0358,25.2521,"Hey, what time is it? They're supposed to run around midnight, right? God, this is great, isn't it?",sad
2020,2020,Ses02F_impro05_M005,54.52,58.9138,But fifty dollars isn't going to get me anything.,neu
1408,1408,Ses01M_script01_3_F010,148.7,150.8,What?,xxx
7025,7025,Ses04M_impro04_M016,161.82,163.49,"Well, I mean, it makes sense, doesn't it, hmm?",fru
1472,1472,Ses01M_script01_3_M043,507.77,511.4612,What would I do with a fortune?,hap
9176,9176,Ses05M_impro04_M023,165.91,172.76,"What if you do kids parties? oh, come on.",fru
3827,3827,Ses03F_impro05_F002,29.6894,33.1543,"What do you mean, you don't know what to tell me? I have two luggage that I've been coming--they're coming--from France and I need them here. I'm home now. I need to go start working.",ang
9598,9598,Ses05M_script01_2_F012,105.24,112.16,"No.  She's not his girl, Joe.  She knows she's not.",xxx
6897,6897,Ses04M_impro02_M001,16.58,20.26,"What am I supposed to do, read your letters?",xxx
2002,2002,Ses02F_impro05_F010,121.61,124.57,"Um, we'd be willing to give you uh fifty dollars for--",ang
5081,5081,Ses03M_impro08a_F025,183.8875,188.0359,"Besides, it's sort of out of hands at the moment----The whole electrical power outage.",fru
2273,2273,Ses02F_script01_1_M034,277.84,281.74,"Tell me, you'd leave the business?",xxx
2859,2859,Ses02M_impro04_F008,96.7713,103.3594,"you know you shouldn't give yourself a hard time for that, it's the best you can.",neu
794,794,Ses01F_script03_2_F015,114.8512,119.6,"If you hadn't been so suspicious and nosey, you never would have known a thing about it.",ang
3660,3660,Ses03F_impro02_F006,32.7525,44.415,yeah.,xxx
6756,6756,Ses04F_script03_2_F030,184.79,187.52,Nothing.,ang
2886,2886,Ses02M_impro04_M017,133.8097,141.1249,"But like, just because you're considering why it's been so difficult doesn't mean you should just stop.",fru
637,637,Ses01F_script02_2_F027,269.5575,271.5911,No. Of course not.,fru
47,47,Ses01F_impro02_F017,169.36,176.015,things just aren't what they seem.,sad
5217,5217,Ses03M_script01_1_M002,23.1025,32.3525,From your father's point of view he is still alive and if you try and take her that's just not fair.  You can't do that.,sad
3708,3708,Ses03F_impro02_M010,114.46,119.0325,"and if we survive, if we survive that then babe, you know you know we could survive any--",fru
856,856,Ses01F_script03_2_M036,269.3425,273.61,You're not going like this.,ang
3582,3582,Ses02M_script03_2_M000,3.3467,7.2362,Adders don't snap they sting.,neu
3282,3282,Ses02M_script01_3_M007,66.5392,76.041,I kissed you.,xxx
1578,1578,Ses01M_script02_2_F033,373.8803,378.52,You don't understand anything I'm saying.,sad
7150,7150,Ses04M_impro06_M008,118.6,130.71,"I agree.  If I knew how to make that happen, I would certainly help you.",sad
2360,2360,Ses02F_script01_3_M008,87.94,90.85,Let's drive someplace.  I want to be alone with you.,xxx
7608,7608,Ses04M_script02_2_M011,86.69,88.72,No.,fru
5770,5770,Ses04F_impro02_F009,123.06,132.5883,You don't know that.,sad
2615,2615,Ses02F_script03_1_M034,212.42,217.2,"As a matter of fact, the real cause of that row was Peter Burden.",neu
3231,3231,Ses02M_script01_2_M004,30.24,32.42,But Kate,neu
9950,9950,Ses05M_script03_2_M011,57.25,59.13,"Oh, no on the contrary, a child of two could get violently drunk on only one glass.",neu
7389,7389,Ses04M_script01_1_M038,292.27,299.9599,"Alright.  But just don't think like that because what the hell did we work for?  That's all for you, Chris.  The whole shooting match is just for you.",ang
3621,3621,Ses02M_script03_2_M039,215.3314,217.0862,"This is the end, do you hear? The end finally and forever.",ang
6380,6380,Ses04F_script01_2_F007,56.95,60.66,She's not going to marry him.,ang
9858,9858,Ses05M_script03_1_F031,245.06,247.0439,"Oh, how long will it last, this ludicrous, overbearing love of ours?",neu
4771,4771,Ses03M_impro03_M009,58.36,60.1425,Sure?  Who says sure?  You say yes...I don't like--,xxx
2955,2955,Ses02M_impro06_F003,49.85,53.681,"yeah, I mean, you know, it was a -",sad
9225,9225,Ses05M_impro05_M008,46.12,47.28,"Um, well, there's not much I can do.  I can, you can file this report and we'll call you when it comes in.",sur
2377,2377,Ses02F_script01_3_M025,214.07,215.64,"I got this idea watching them go down.  Everything was being destroyed, see, but it seemed that there was one new thing being made.  A sort of responsibility.  Man for man.",sad
2030,2030,Ses02F_impro05_M015,189.66,191.54,"Okay.  Well that that could be something that you put on on the claim--on on the complaint form if you want.  And provide us with your information while you're here and then, maybe, if it turns up, then we'll send it right over.",neu
8944,8944,Ses05M_impro01_F001,9.79,19.08,"Yes, I'm um- just getting my I.D.  I need a new I.D.",neu
742,742,Ses01F_script03_1_M002,14.64,17.43,Shall we always want to bicker and fight?,fea
3680,3680,Ses03F_impro02_F026,171.9575,174.2475,And we know you need-we need the money. We couldn't even- purchase a house if I didn't take this.,sad
7573,7573,Ses04M_script02_2_F014,117.12,119.65,We just have different ideas about what this evening is supposed to look like.,xxx
3566,3566,Ses02M_script03_2_F027,163.5925,169.4719,Don't be so stupid.,xxx
4397,4397,Ses03F_script02_2_M006,56.775,59.7491,"A-a back rub, some ice cream, a suicide pact. What the hell do you want, Carla?",fru
7180,7180,Ses04M_impro07_F017,130.25,132.55,"And, uh-",exc
9218,9218,Ses05M_impro05_M001,10.32,13.05,"Well, no one even told me about that.  Like, why would I think to buy insurance?  I was- It's like a three hour flight.",neu
9120,9120,Ses05M_impro04_F006,71.91,78.5,And try to do something. I mean-,neu
1254,1254,Ses01M_impro07_M010,66.3983,78.9,"Yeah, well I doubt [GARBAGE] ping pong [GARBAGE]",exc
4123,4123,Ses03F_script01_1_M030,264.14,270.7175,I'll get out. I'll marry her somewhere else. Maybe New York.,neu
8497,8497,Ses05F_script01_1_F031,294.66,304.58,"All right, All right mom.  Listen!",sad
9392,9392,Ses05M_impro08_F025,194.5,197.08,"Okay, And uh- go ahead and click on run.",hap
6064,6064,Ses04F_impro07_F007,32.37,35.3588,"Yes, I am.",exc
2855,2855,Ses02M_impro04_F004,37.9351,40.8943,"You've been doing a lot of work for it, right?",neu
9768,9768,Ses05M_script02_2_F021,246.05,247.28,"No, we won't.  It's like waiting up for Santa Clause or something.  I feel like as though my whole life is going to be standing on the beach waiting with my eyes opened expectantly, my hands clasped neatly in front of me, waiting for fish to show up.  And the fish will not show up.",xxx
4572,4572,Ses03F_script03_2_M030,200.52,207.58,You've always had far too temperamental for yourself. You should try to control it.,ang
2534,2534,Ses02F_script02_2_M031,250.89,266.43,"Oh, don't be ridiculous.  I mean, don't you know that?",sad
4574,4574,Ses03F_script03_2_M032,232.41,235.63,I will not. Go away. Go away. I hate you.,xxx
8689,8689,Ses05F_script02_1_M016,125.37,133.652,"What are you so excited about?  I mean it's not--it's not rocket science we are talking about, its fish.  Its fish nobody even eats.",xxx
9128,9128,Ses05M_impro04_F014,136.87,142.92,"You plan on being there forever? I mean, Like, what do you --",neu
4534,4534,Ses03F_script03_2_F036,261.465,268.54,"It's a woman's job to allure the man. Watch me, won't you, a minute?",xxx
2697,2697,Ses02F_script03_2_M037,203.77,206.48,"You're a vile, tempered, loose living, wicked little beast and I hope to never see you again as long as I live.",ang
9812,9812,Ses05M_script02_2_M026,297.26,302.69,"For heavens sake, Augie, whatever I am doing, I'd rather it be with you.",ang
